session_id,prob
exxxxxshop.si-0.00021101047198248773,0.22985745774763447
exxxxxshop.si-0.0002712991769484001,0.8346262669875191
exxxxxshop.si-0.00033158788092821383,0.8670517540368372
exxxxxshop.si-0.00039187658370279567,0.7400516892426839
exxxxxshop.si-0.0004521652850530127,0.5149001428965405
exxxxxshop.si-0.0005124539847597318,0.0240456749906586
exxxxxshop.si-0.0005727426826038199,0.43445552392790376
exxxxxshop.si-0.0006330313783661442,0.7348421550716173
exxxxxshop.si-0.0006933200718275715,0.19614904640797906
exxxxxshop.si-0.0007536087627689688,0.7512226264843189
exxxxxshop.si-0.000813897450971203,0.8703634322643475
exxxxxshop.si-0.0008741861362151413,0.7878277618395981
exxxxxshop.si-0.0009344748182816507,0.8372784741522169
exxxxxshop.si-0.0009947634969515982,0.8404162575962766
exxxxxshop.si-0.0010550521720058507,0.1371930913999697
exxxxxshop.si-0.0011756295103907393,0.4342653323006459
exxxxxshop.si-0.0012359181732831093,0.39431066491681815
exxxxxshop.si-0.001296206831683253,0.5172014473824699
exxxxxshop.si-0.001356495485372037,0.764022666928645
exxxxxshop.si-0.001416784134130329,0.8649426228706131
exxxxxshop.si-0.0014770727777389957,0.025024142459022364
exxxxxshop.si-0.0015373614159789042,0.5420210387039216
exxxxxshop.si-0.0016579386754759162,0.7397236454275001
exxxxxshop.si-0.0017785159108683025,0.021541893228517187
exxxxxshop.si-0.0018388045189774295,0.8065486664479453
exxxxxshop.si-0.0018990931204030017,0.8525710616100027
exxxxxshop.si-0.0019593817149258863,0.49869123476076044
exxxxxshop.si-0.0020196703023269516,0.3484907728458319
exxxxxshop.si-0.0020799588823870643,0.8402025263002909
exxxxxshop.si-0.002140247454887092,0.6820425968392508
exxxxxshop.si-0.0022005360196079016,0.7149452714338682
exxxxxshop.si-0.0024416901963163133,0.0247246081323369
exxxxxshop.si-0.002501978718854047,0.7559554337843796
exxxxxshop.si-0.0025622672322977687,0.5417452945711227
exxxxxshop.si-0.002622555736428345,0.40783006940008554
exxxxxshop.si-0.002682844231026644,0.774219384145382
exxxxxshop.si-0.0027431327158735338,0.7625582517864722
exxxxxshop.si-0.0028637096554365556,0.8420719889575612
exxxxxshop.si-0.0029842865533643535,0.05142042176189051
